borough,simple_cat,avg_price,avg_price_per_sqft,listing_count
Ahuntsic-Cartierville,condos,482003.888,504.5251703871114,125
Ahuntsic-Cartierville,houses,1234830.8041237113,276.85694430106884,97
Ahuntsic-Cartierville,plexes,1114176.6233766233,316.38735380629805,77
Anjou,condos,425987.5,418.03373176652775,8
Anjou,houses,698316.6666666666,193.9432707649897,6
Anjou,plexes,911999.75,291.399321932012,4
Baie-D'Urfé,condos,509333.3333333333,272.78303569127155,3
Baie-D'Urfé,houses,2386245.7083333335,109.73756275280459,24
Beaconsfield,condos,609500.0,403.7398214106147,6
Beaconsfield,houses,1637127.0485436893,165.28571510251885,103
Côte-Saint-Luc,condos,524132.6666666667,396.60596742011387,15
Côte-Saint-Luc,houses,1383172.7272727273,289.3287789956514,11
Côte-Saint-Luc,plexes,795000.0,185.0989522700815,1
Côte-des-Neiges-Notre-Dame-de-Grâce,condos,597594.2222222222,567.2879919912835,36
Côte-des-Neiges-Notre-Dame-de-Grâce,houses,1563687.4375,412.03372432472474,16
Côte-des-Neiges-Notre-Dame-de-Grâce,plexes,1217564.2857142857,368.3826189445435,14
Dollard-des-Ormeaux,condos,581641.4,497.0247306708297,55
Dollard-des-Ormeaux,houses,1168452.1545454545,176.97284291795674,110
Dollard-des-Ormeaux,plexes,900000.0,228.31050228310502,1
Dorval,condos,514203.8,562.1242321256701,25
Dorval,houses,1317758.6956521738,143.6368329154621,46
Dorval,land,2495000.0,147.86937711136136,1
Dorval,plexes,1050750.0,120.93549088750572,4
Hampstead,houses,2636500.0,414.1500902004078,40
Hampstead,land,699000.0,137.97868140544807,1
Hampstead,plexes,1785000.0,359.9308210009248,6
Kirkland,houses,1175431.8,162.03159315897864,15
L'Île-Bizard-Sainte-Geneviève,condos,341923.07692307694,378.02845484892055,13
L'Île-Bizard-Sainte-Geneviève,houses,1426038.888888889,106.12894862614714,63
L'Île-Bizard-Sainte-Geneviève,land,3500000.0,0.4539488360751843,1
L'Île-Bizard-Sainte-Geneviève,plexes,823428.5714285715,156.62913814191901,7
LaSalle,condos,531412.5419354839,601.5323067351034,155
LaSalle,houses,921288.2916666666,318.7378116443158,48
LaSalle,plexes,955496.619047619,287.85426797220913,63
Lachine,condos,441223.6842105263,497.7702709215758,19
Lachine,houses,964181.8181818182,229.74808744342653,11
Lachine,plexes,1203150.0,273.72163364062766,6
Le Plateau-Mont-Royal,condos,719849.9826086956,652.930698033537,230
Le Plateau-Mont-Royal,houses,1601592.325,873.4033021572902,40
Le Plateau-Mont-Royal,plexes,1510967.7857142857,744.2552224549846,84
Le Sud-Ouest,condos,576525.1293103448,763.5905653904244,116
Le Sud-Ouest,houses,1055499.875,552.6084159585123,8
Le Sud-Ouest,plexes,981747.619047619,444.5391196986222,21
Mercier-Hochelaga-Maisonneuve,condos,442526.6111111111,521.0644747837822,216
Mercier-Hochelaga-Maisonneuve,houses,684743.8245614035,249.45707824917122,57
Mercier-Hochelaga-Maisonneuve,land,469000.0,174.6090841399851,1
Mercier-Hochelaga-Maisonneuve,plexes,862356.803030303,349.25905675247026,132
Mont-Royal,condos,723664.1805555555,670.0538865079811,72
Mont-Royal,houses,2341958.163265306,378.3132295259581,98
Mont-Royal,plexes,1650316.6666666667,386.32239626087426,6
Montréal-Nord,condos,376826.1176470588,397.66624938875907,34
Montréal-Nord,houses,654761.0,150.80535702511332,59
Montréal-Nord,land,399900.0,151.30533484676505,1
Montréal-Nord,plexes,842869.8214285715,254.82532263952126,56
Montréal-Ouest,condos,511150.0,555.0240763709579,6
Montréal-Ouest,houses,1514130.391304348,263.055978225334,23
Montréal-Ouest,plexes,1165666.6666666667,344.4640900241916,3
Outremont,condos,1284617.0297029703,822.6849860880747,101
Outremont,houses,3310684.1842105263,640.7662248951924,38
Outremont,plexes,2165627.272727273,806.0697474508488,11
Pierrefonds-Roxboro,condos,492671.0909090909,435.56515177704966,11
Pierrefonds-Roxboro,houses,885862.5,135.17180975988566,32
Pierrefonds-Roxboro,land,1699000.0,153.3808792994493,1
Pierrefonds-Roxboro,plexes,1084500.0,169.79640630532208,2
Pointe-Claire,condos,702846.0571428571,631.2925267117547,70
Pointe-Claire,houses,1072358.0632911392,187.47948213965836,79
Pointe-Claire,plexes,1845000.0,168.29335036030284,1
Rivière-des-Prairies-Pointe-aux-Trembles,condos,391273.7619047619,394.2205992732817,84
Rivière-des-Prairies-Pointe-aux-Trembles,houses,670994.5426356589,173.90490859345257,129
Rivière-des-Prairies-Pointe-aux-Trembles,plexes,780209.0909090909,177.50737528166906,22
Rosemont-La Petite-Patrie,condos,634234.5769230769,649.8122788223583,26
Rosemont-La Petite-Patrie,houses,1460346.0,672.0912990184227,10
Rosemont-La Petite-Patrie,plexes,1051418.1818181819,455.612389007463,22
Saint-Laurent,condos,619065.625,565.4392538990043,32
Saint-Laurent,houses,1313413.043478261,342.30062730152275,23
Saint-Laurent,plexes,1051986.0833333333,261.85398159195046,12
Saint-Léonard,condos,483056.1886792453,486.2295627135536,53
Saint-Léonard,houses,1173235.25,226.85621762645647,28
Saint-Léonard,plexes,1140664.84375,274.1987331545432,32
Sainte-Anne-de-Bellevue,condos,757031.7333333333,521.8042455906013,15
Sainte-Anne-de-Bellevue,houses,764775.0,311.0791602185026,16
Sainte-Anne-de-Bellevue,plexes,996750.0,117.91864957562453,4
Senneville,houses,1791400.0,161.27719083596912,2
Verdun,condos,890035.5576923077,780.53057242287,52
Verdun,houses,1157000.0,386.60289525717553,5
Verdun,plexes,924988.8888888889,374.604432614203,9
Ville-Marie,condos,736182.1358436607,848.7340396944234,2098
Ville-Marie,houses,2521176.75,956.8639210341449,60
Ville-Marie,land,1700000.0,289.1156462585034,1
Ville-Marie,plexes,1266721.0526315789,704.9494932573409,57
Villeray-Saint-Michel-Parc-Extension,condos,567115.8415841584,655.1748225501075,101
Villeray-Saint-Michel-Parc-Extension,houses,857647.3684210526,321.0747268947894,38
Villeray-Saint-Michel-Parc-Extension,plexes,983322.7623762377,1554.1760229765225,101
Westmount,condos,2263849.6944444445,1049.2483383281742,72
Westmount,houses,4170176.470588235,804.6540917652909,136
Westmount,plexes,2318250.0,802.3911465129621,12
